stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\xaver\OneDrive\Dokumente\Hagenberg\WS21\SWO3_Softwareenwticklung_mit_klassischen_Sprachen\Uebung\swo3\Aufgabe4\snake\x64\Debug\allegro5.cfg r
display  D   display_settings.c:398  _al_score_display_settings       [   0.11356] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11363] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11369] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11375] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.11382] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11391] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.11398] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11405] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11414] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11420] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11427] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11435] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11449] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11466] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11483] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11489] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11497] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11512] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11522] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11529] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11594] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11609] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.11642] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11660] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.11667] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11673] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11686] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11693] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11700] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11705] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11712] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11721] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11734] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11749] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11769] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11776] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11785] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11791] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11797] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11803] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.11812] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11818] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.11826] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11835] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11843] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11848] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11855] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11861] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11869] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11875] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11881] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11890] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11898] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11904] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11913] Single Buffer requirement not met.
